noun_id,class_key,nouns
0,Nothing,['Nothing']
1,pan,"['pan', 'pan:sauce', 'pan:frying', 'pan:cake', 'saucepan', 'saucepan:empty', 'saucepan:small', 'wok', 'wok:scour', 'pan:content']"
2,pan:dust,"['pan:dust', 'dustpan']"
3,tap,"['tap', 'tap:water', 'nozzle', 'nozzle:coffee']"
4,plate,"['plate', 'plate:pasta', 'saucer', 'dish', 'plate:salad', 'plate:lasagna', 'food:plate', 'flatware', 'pate']"
5,knife,"['knife', 'knife:mincing', 'knife:using', 'blade', 'chopper', 'knife:mezzaluna', 'chopper:moon', 'mezzaluna']"
6,bowl,"['bowl', 'bowl:salad', 'bowl:glass', 'bowl:sugar', 'bowl:empty', 'bowl:cooker', 'bowl:washing', 'bowl:egg', 'bowl:processor']"
7,spoon,"['spoon', 'spoon:wooden', 'spoon:using', 'teaspoon', 'risotto:spoon', 'spade', 'spade:food', 'spoon:coffee', 'spoon:tea', 'measure', 'stirrer:coffee', 'scoop', 'stirrer', 'tablespoon']"
8,cupboard,"['cupboard', 'cabinet', 'locker', 'flap', 'door', 'door:cabinet', 'door:cupboard', 'closet']"
9,drawer,"['drawer', 'drawer:dishwasher', 'drawer:freezer', 'drawer:refrigerator', 'draw']"
10,fridge,"['fridge', 'refrigerator', 'door:refrigerator', 'door:fridge']"
11,lid,"['lid', 'lid:pot', 'lid:tin', 'lid:saucepan', 'lid:tupperware', 'lid:box', 'lid:pan', 'lid:bottle', 'lid:teapot', 'lid:kettle', 'lid:yoghurt', 'lid:chopper', 'seal']"
12,hand,"['hand', 'hand:using', 'hand:my']"
13,onion,"['onion', 'onion:cutting', 'piece:onion', 'bit:onion']"
14,onion:spring,['onion:spring']
15,pot,"['pot', 'pot:coffee', 'pot:small', 'pot:white', 'pot:right', 'pot:left', 'pot:teapot', 'pot:second', 'teapot', 'part:teapot', 'pot:pressure', 'pot:pasta', 'pot:sauce', 'pot:third', 'pot:first']"
16,glass,"['glass', 'glass:wine', 'glass:empty']"
17,water,"['water', 'water:tap', 'water:empty', 'water:excess', 'water:hot', 'water:more', 'excess:water']"
18,fork,"['fork', 'fork:soap']"
19,board:chopping,"['board:chopping', 'board:cutting', 'board', 'board:serving', 'block:chopping', 'board:cut', 'block']"
20,bag,"['bag', 'bag:plastic', 'bag:pasta', 'bag:mozzarella', 'bag:cereal', 'bag:grape', 'bag:flour', 'bag:cheese', 'bag:nut', 'bag:rice', 'bag:oregano', 'bag:salad', 'bag:bin', 'bag:coffee', 'bag:spaghetti', 'bag:food', 'bag:trash', 'bag:onion', 'bag:carrot', 'bag:bread', 'bag:grapes', 'bag:sandwich', 'bag:kitchen']"
21,sponge,"['sponge', 'scrubber']"
22,spatula,"['spatula', 'spatula:wooden', 'spate']"
23,cup,"['cup', 'cup:coffee', 'cup:measuring', 'cup:small', 'mug', 'mug:rinse', 'mug:clean']"
24,oil,"['oil', 'oil:olive', 'oil:chilli', 'oil:sesame']"
25,bin,"['bin', 'bin:trash', 'bin:dust', 'bin:food', 'dustbin', 'bin:rubbish', 'bin:garbage', 'bin:recycling', 'basket:waste', 'wastebasket']"
26,meat,"['meat', 'meat:minced', 'piece:meat', 'mix:meat', 'meat:mix', 'mincemeat', 'meat:mince']"
27,potato,"['potato', 'potato:baby']"
28,bottle,"['bottle', 'bottle:oil', 'bottle:milk', 'bottle:water', 'bottle:sauce', 'bottle:pesto', 'bottle:vinegar']"
29,container,"['container', 'container:food', 'container:milk', 'container:sauce', 'container:rice', 'container:tofu', 'container:sugar', 'container:salt', 'container:tomato', 'container:pasta', 'container:cake', 'bin:bread', 'bucket']"
30,tomato,"['tomato', 'tomato:dried', 'tomato:cherry', 'tomato:chopped', 'sun']"
31,salt,"['salt', 'seasoning']"
32,cloth,"['cloth', 'cloth:table', 'rag', 'cloth:dish', 'cloth:cleaning', 'cloth:washing', 'dishrag']"
33,sink,"['sink', 'sink:kitchen', 'sink:water']"
34,door:kitchen,['door:kitchen']
35,pasta,"['pasta', 'spaghetti', 'piece:pasta', 'lasagne']"
36,dish:soap,['dish:soap']
37,food,"['food', 'food:scoop', 'residue:food', 'bit:food', 'grocery']"
38,kettle,['kettle']
39,box,"['box', 'box:lunch', 'box:cereal', 'box:tea', 'box:salt', 'tupperware', 'lunchbox', 'case', 'box:mushroom', 'box:coffee', 'box:cheese', 'box:milk', 'box:rice', 'box:carrot', 'box:fruit', 'pot:plastic', 'tub', 'box:plastic', 'box:eggs', 'box:fajita']"
40,carrot,"['carrot', 'carrot:tail']"
41,sauce,"['sauce', 'sauce:soy', 'sauce:fish', 'sauce:pesto', 'sauce:tomato', 'salsa', 'tabasco', 'sauce:soya', 'soy', 'passata', 'mirin']"
42,colander,"['colander', 'strainer:pasta']"
43,milk,"['milk', 'milk:soy', 'milk:coconut', 'milk:soya']"
44,rice,"['rice', 'rice:scoop']"
45,garlic,"['garlic', 'garlic:chop', 'garlic:peel', 'piece:garlic', 'clove', 'bit:garlic', 'bulb']"
46,pepper,"['pepper', 'pepper:bell']"
47,hob,"['hob', 'stove', 'gas', 'burners', 'hop', 'hot', 'burner']"
48,dough,['dough']
49,dishwasher,"['dishwasher', 'dishwater']"
50,egg,"['egg', 'flour:egg']"
51,cheese,"['cheese', 'slice:cheese', 'mixture:cheese', 'mozzarella', 'paneer', 'slice:mozzarella', 'parmesan']"
52,bread,"['bread', 'bread:white', 'bread:toast', 'loaf', 'rusk', 'toast', 'bun:hamburger', 'slice:bread', 'ciabatta', 'bread:sandwich']"
53,table,"['table', 'table:round']"
54,salad,"['salad', 'salad:cucumber']"
55,microwave,"['microwave', 'oven:microwave']"
56,oven,"['oven', 'oven:adjust', 'cooker', 'door:oven']"
57,cooker:slow,"['cooker:slow', 'cooker:rice']"
58,coffee,"['coffee', 'coffee:scoop', 'pod:coffee', 'bean:coffee', 'ground:coffee', 'scoop:coffee', 'spill:coffee', 'grounds', 'ground']"
59,filter,"['filter', 'filter:water', 'filter:coffee', 'filter:empty', 'filter:sink', 'paper:filter', 'catcher:sink', 'stud']"
60,jar,"['jar', 'jar:sugar', 'jar:coffee', 'jar:filter', 'jar:salt', 'jar:honey']"
61,rack:drying,"['rack:drying', 'rack', 'rack:dish', 'drainer']"
62,chicken,"['chicken', 'thigh:chicken', 'breast:chicken', 'piece:chicken', 'breast']"
63,tray,"['tray', 'tray:baking', 'pan:baking', 'tray:pizza', 'tin:baking', 'base:tin']"
64,mixture,"['mixture', 'mix']"
65,towel,"['towel', 'towel:tea']"
66,towel:kitchen,"['towel:kitchen', 'towel:paper', 'roll:kitchen']"
67,peach,"['peach', 'slice:peach']"
68,skin,"['skin', 'skin:onion', 'skin:potato', 'peel', 'peel:onion', 'peeling', 'peeling:onion', 'peeling:carrot', 'rind', 'skin:squash', 'skin:carrot', 'skin:banana']"
69,courgette,"['courgette', 'piece:courgette']"
70,liquid:washing,"['liquid:washing', 'liquid:cleaning', 'detergent', 'degreaser', 'cleanser', 'spray', 'cleaner', 'washing:dish', 'product']"
71,liquid,['liquid']
72,leaf,"['leaf', 'leaf:lettuce', 'leaf:salad', 'leaf:spinach', 'leaf:bay']"
73,lettuce,"['lettuce', 'rocket']"
74,leaf:mint,"['leaf:mint', 'leaf:curry']"
75,cutlery,"['cutlery', 'knife:fork', 'silverware', 'tableware']"
76,scissors,"['scissors', 'scissor']"
77,package,"['package', 'package:cheese', 'package:bread', 'package:cooky', 'package:popcorn', 'package:mozzarella', 'package:parsley', 'package:salad', 'package:pasta', 'packaging', 'packaging:salad', 'packaging:bread', 'packet', 'pack:cheese', 'pack', 'pack:tortilla', 'pack:tea', 'carton:egg', 'wrapper', 'plastic', 'package:sausage', 'package:cookies', 'pack:soup', 'package:bacon', 'pack:oat', 'carton', 'packet:beef', 'packet:tea', 'package:meat', 'sachet', 'packet:cookies', 'packet:cheese', 'carton:milk', 'sachet:flavour', 'packet:sausage', 'package:cream', 'package:salt', 'pack:salad', 'pack:meat', 'pack:pasta', 'package:fajita', 'package:wrap', 'package:spice', 'package:egg', 'cardboard', 'wrapping']"
78,top,"['top', 'top:counter', 'top:stove', 'surface', 'surface:hob', 'surface:wipe', 'counter', 'counter:kitchen', 'side', 'top:kitchen', 'tile']"
79,spice,['spice']
80,tortilla,['tortilla']
81,paper,"['paper', 'paper:baking', 'paper:cooking', 'letter']"
82,machine:washing,"['machine:washing', 'machine', 'washer', 'machine:washer', 'door:machine']"
83,olive,['olive']
84,sausage,"['sausage', 'chorizo']"
85,glove:oven,"['glove:oven', 'glove', 'mitt', 'mitt:oven', 'mitten']"
86,peeler:potato,"['peeler:potato', 'peeler', 'skinner:carrot', 'skinner', 'peeler:carrot']"
87,can,"['can', 'tin', 'tin:tomato']"
88,mat,"['mat', 'mat:place', 'board:eating', 'placemat']"
89,mat:sushi,['mat:sushi']
90,vegetable,['vegetable']
91,wrap:plastic,"['wrap:plastic', 'foil:transparent', 'film:cling', 'film']"
92,wrap,['wrap']
93,flour,"['flour', 'mixture:flour', 'powder:flour']"
94,cucumber,['cucumber']
95,curry,"['curry', 'curry:fish', 'masala:bean', 'paneer:saag', 'masala']"
96,cereal,"['cereal', 'shreddies', 'granola', 'bowl:cereal']"
97,napkin,['napkin']
98,soap,['soap']
99,squash,['squash']
100,fish,"['fish', 'piece:fish', 'skin:fish', 'fragment:fish', 'skin:salmon']"
101,chilli,"['chilli', 'chilli:chop', 'chilli:red', 'chilli:slice', 'pepper:chilli']"
102,cover,"['cover', 'cover:plastic', 'cover:plate', 'cover:dish']"
103,sugar,['sugar']
104,aubergine,['aubergine']
105,jug,"['jug', 'jug:measuring', 'pitcher', 'carafe', 'carafe:rinse']"
106,heat,"['heat', 'temperature', 'temperature:gas', 'temperature:cooker', 'heat:cooker', 'temp']"
107,leek,"['leek', 'piece:leek']"
108,rubbish,"['rubbish', 'trash', 'garbage', 'waste']"
109,ladle,['ladle']
110,mushroom,['mushroom']
111,stock,"['stock', 'cube:stock']"
112,freezer,['freezer']
113,light,['light']
114,pizza,"['pizza', 'slice:pizza']"
115,ball,['ball']
116,yoghurt,['yoghurt']
117,chopstick,"['chopstick', 'stick:chop']"
118,grape,['grape']
119,ginger,"['ginger', 'piece:ginger', 'galangal', 'root:galangal']"
120,banana,['banana']
121,oregano,['oregano']
122,tuna,"['tuna', 'mixture:tuna']"
123,kitchen,['kitchen']
124,salmon,['salmon']
125,basket,"['basket', 'hamper']"
126,maker:coffee,"['maker:coffee', 'v60', 'cafetiere', 'cafetiere:rinse', 'maker', 'machine:coffee', 'pot:moka', 'pot:mocha', 'moka']"
127,roll,['roll']
128,brush,"['brush', 'brusher', 'brush:pastry', 'broom', 'wool', 'wool:steel']"
129,lemon,"['lemon', 'slice:lemon']"
130,clothes,"['clothes', 'laundry', 'washing:washing', 'washing']"
131,grater,"['grater', 'grater:cheese']"
132,strainer,"['strainer', 'strainer:mesh', 'sieve']"
133,bacon,['bacon']
134,avocado,['avocado']
135,blueberry,['blueberry']
136,pesto,['pesto']
137,utensil,"['utensil', 'skimmer']"
138,bean:green,"['bean:green', 'bean']"
139,floor,['floor']
140,lime,"['lime', 'piece:lime']"
141,foil,"['foil', 'foil:kitchen', 'foil:aluminium']"
142,grill,['grill']
143,ingredient,"['ingredient', 'ingredient:pan']"
144,scale,"['scale', 'system:weighing', 'scales', 'balance']"
145,paste:garlic,"['paste:garlic', 'paste:miso', 'paste', 'paste:shrimp', 'paste:pepper', 'paste:nut']"
146,processor:food,"['processor:food', 'processor', 'bit:processor']"
147,nut:pine,"['nut:pine', 'nut', 'peanut', 'pine']"
148,butter,['butter']
149,butter:peanut,['butter:peanut']
150,shelf,"['shelf', 'shelf:utensil']"
151,timer,"['timer', 'timer:oven']"
152,rinse,['rinse']
153,tablecloth,['tablecloth']
154,switch,['switch']
155,powder:coconut,"['powder:coconut', 'powder:curry', 'powder:baking', 'powder', 'powder:garlic']"
156,powder:washing,"['powder:washing', 'persil']"
157,capsule,"['capsule', 'capsule:empty']"
158,oat,['oat']
159,tofu,"['tofu', 'curd:bean', 'curd']"
160,lighter,['lighter']
161,corn,"['corn', 'corn:sweet', 'cob:corn', 'cob', 'corncob', 'sweetcorn']"
162,vinegar,"['vinegar', 'reduction:balsamic', 'vinegar:wine', 'vinegar:rice', 'reduction']"
163,grinder,"['grinder', 'grinder:coffee']"
164,cap,"['cap', 'cap:sink']"
165,support,"['support', 'support:pan', 'trivet']"
166,cream,"['cream', 'fraiche:creme', 'fraiche']"
167,content,"['content', 'content:pan']"
168,tongs,"['tongs', 'tong']"
169,pie,"['pie', 'pastry']"
170,fan:extractor,"['fan:extractor', 'fan', 'ventilator', 'hood']"
171,raisin,['raisin']
172,toaster,['toaster']
173,broccoli,['broccoli']
174,pin:rolling,"['pin:rolling', 'pin']"
175,plug,"['plug', 'socket']"
176,button,['button']
177,tea,"['tea', 'bag:tea', 'teabag']"
178,parsley,['parsley']
179,flame,['flame']
180,herb,['herb']
181,base,"['base', 'base:pizza']"
182,holder:filter,"['holder:filter', 'holder:pot', 'holder', 'holder:jug']"
183,thyme,['thyme']
184,honey,['honey']
185,celery,['celery']
186,kiwi,['kiwi']
187,tissue,['tissue']
188,time,"['time', 'time:cooking']"
189,clip,"['clip', 'clip:bag']"
190,noodle,['noodle']
191,yeast,['yeast']
192,hummus,"['hummus', 'humus']"
193,coconut,['coconut']
194,cabbage,['cabbage']
195,spinach,['spinach']
196,nutella,['nutella']
197,fruit,['fruit']
198,dressing:salad,"['dressing:salad', 'dressing']"
199,omelette,"['omelette', 'tamagoyaki', 'frittata']"
200,kale,['kale']
201,paella,['paella']
202,chip,['chip']
203,opener:bottle,"['opener:bottle', 'opener:can', 'corkscrew', 'opener']"
204,shirt,"['shirt', 't', 'shirt:tee']"
205,chair,['chair']
206,sandwich,['sandwich']
207,burger:tuna,"['burger:tuna', 'patty', 'patty:tuna', 'burger', 'hamburger']"
208,pancake,['pancake']
209,leftover,"['leftover', 'food:leftover']"
210,risotto,['risotto']
211,pestle,['pestle']
212,sock,['sock']
213,pea,['pea']
214,apron,['apron']
215,juice,"['juice', 'juice:lemon']"
216,wine,['wine']
217,dust,['dust']
218,desk,['desk']
219,mesh,['mesh']
220,oatmeal,['oatmeal']
221,artichoke,['artichoke']
222,remover:spot,['remover:spot']
223,coriander,"['coriander', 'cilantro']"
224,mocha,['mocha']
225,quorn,['quorn']
226,soup,['soup']
227,turmeric,['turmeric']
228,knob,"['knob', 'dial']"
229,seed,"['seed', 'pit', 'seed:squash']"
230,boxer,"['boxer', 'short:boxer']"
231,paprika,['paprika']
232,juicer:lime,['juicer:lime']
233,guard:hand,"['guard:hand', 'guard']"
234,apple,['apple']
235,tahini,['tahini']
236,finger,['finger']
237,salami,"['salami', 'ham', 'prosciutto']"
238,mayonnaise,['mayonnaise']
239,biscuit,"['biscuit', 'cookie', 'cooky', 'cracker']"
240,pear,['pear']
241,mortar,"['mortar', 'bowl:mortar']"
242,berry,['berry']
243,beef,"['beef', 'steak']"
244,squeezer:lime,['squeezer:lime']
245,tail,['tail']
246,stick:crab,['stick:crab']
247,supplement,['supplement']
248,phone,"['phone', 'mobile']"
249,shell:egg,"['shell:egg', 'eggshell', 'shell']"
250,pith,['pith']
251,ring:onion,"['ring:onion', 'ring']"
252,cherry,['cherry']
253,cake,['cake']
254,sprout,['sprout']
255,almond,['almond']
256,mint,['mint']
257,flake:chilli,"['flake:chilli', 'flake']"
258,cutter:pizza,"['cutter:pizza', 'cutter']"
259,nesquik,['nesquik']
260,blender,"['blender', 'mixer']"
261,scrap,['scrap']
262,backpack,['backpack']
263,melon,['melon']
264,breadcrumb,"['breadcrumb', 'crumb:bread']"
265,sticker,['sticker']
266,shrimp,['shrimp']
267,smoothie,['smoothie']
268,grass:lemon,['grass:lemon']
269,ketchup,['ketchup']
270,slicer,"['slicer', 'device:cutting']"
271,stand,['stand']
272,dumpling,['dumpling']
273,watch,['watch']
274,beer,['beer']
275,power,['power']
276,heater,['heater']
277,basil,"['basil', 'plant:basil']"
278,cinnamon,['cinnamon']
279,crisp,['crisp']
280,asparagus,['asparagus']
281,drink,"['drink', 'soda']"
282,fishcakes,"['fishcakes', 'cake:fish', 'fishcake']"
283,mustard,['mustard']
284,caper,['caper']
285,whetstone,"['whetstone', 'sharpener:knife', 'sharpener', 'stone:sharpening', 'stone']"
286,candle,['candle']
287,control:remote,"['control:remote', 'control', 'remote']"
288,instruction,['instruction']
289,cork,"['cork', 'stopper']"
290,tab,['tab']
291,masher,['masher']
292,part,['part']
293,muffin,['muffin']
294,shaker:pepper,['shaker:pepper']
295,garni:bouquet,['garni:bouquet']
296,popcorn,['popcorn']
297,envelope,['envelope']
298,chocolate,['chocolate']
299,spot,['spot']
300,window,['window']
301,syrup,"['syrup', 'syrup:maple']"
302,bar:cereal,"['bar:cereal', 'bar']"
303,croissant,['croissant']
304,coke,['coke']
305,stereo,['stereo']
306,alarm,['alarm']
307,recipe,['recipe']
308,handle,['handle']
309,sleeve,['sleeve']
310,cumin,"['cumin', 'jeera']"
311,wire,['wire']
312,label,['label']
313,fire,['fire']
314,presser,"['presser', 'squeezer', 'press', 'press:garlic', 'juicer']"
315,air,['air']
316,mouse,['mouse']
317,boiler,['boiler']
318,rest,"['rest', 'rest:spoon', 'holder:spoon']"
319,tablet,['tablet']
320,poster,['poster']
321,trousers,['trousers']
322,form,['form']
323,rubber,"['rubber', 'band:rubber']"
324,rug,['rug']
325,sheets,"['sheets', 'sheet']"
326,pepper:cayenne,['pepper:cayenne']
327,waffle,['waffle']
328,pineapple,['pineapple']
329,turkey,['turkey']
330,alcohol,['alcohol']
331,rosemary,['rosemary']
332,lead,['lead']
333,book,"['book', 'geographic:national']"
334,rim,['rim']
335,gravy,['gravy']
336,straw,['straw']
337,hat,['hat']
338,cd,['cd']
339,slipper,['slipper']
340,casserole,['casserole']
341,ladder,['ladder']
342,jambalaya,['jambalaya']
343,wall,['wall']
344,tube,['tube']
345,lamp,['lamp']
346,tarragon,['tarragon']
347,heart,['heart']
348,funnel,['funnel']
349,whisk,['whisk']
350,driver:screw,['driver:screw']
351,trouser,['trouser']
