uid,participant_id,video_id,narration,start_timestamp,stop_timestamp,start_frame,stop_frame,verb,verb_class,noun,noun_class,all_nouns,all_noun_classes
119,P01,P01_01,stay stirring vegetables,00:08:45.83,00:09:01.44,31549,32486,stay,,vegetable:stirring,90,['vegetable:stirring'],[90]
247,P01,P01_01,waiting for rice to be cooked,00:19:43.09,00:20:11.97,70985,72718,wait-for,,rice,44,['rice'],[44]
269,P01,P01_01,waiting for rice,00:21:55.88,00:21:58.93,78952,79135,wait-for,,rice,44,['rice'],[44]
270,P01,P01_01,still waiting for rice,00:22:20.37,00:22:33.51,80422,81210,wait-for,,rice,44,['rice'],[44]
396,P01,P01_02,green spatula,00:03:38.99,00:03:46.01,13139,13560,,,spatula:green,22,['spatula:green'],[22]
1057,P01,P01_09,waiting for water to be hot,00:01:26.74,00:01:47.78,5204,6466,wait-for,,water,17,['water'],[17]
1334,P01,P01_09,mushrooms onto plate,00:23:51.75,00:23:56.21,85905,86172,mushroom-onto,,plate,4,['plate'],[4]
2043,P01,P01_11,hand cloth,00:06:33.27,00:06:34.99,23596,23699,cloth,,cloth,32,['cloth'],[32]
2952,P01,P01_17,still,00:04:35.92,00:04:44.86,16555,17091,,,lettuce,73,['lettuce'],[73]
3415,P01,P01_18,hand cloth,00:18:38.66,00:18:40.62,67119,67237,cloth,,cloth,32,['cloth'],[32]
3477,P01,P01_18,wait for water to boil,00:22:18.30,00:22:23.55,80298,80613,wait-for,,water,17,['water'],[17]
3478,P01,P01_18,continue waiting,00:22:23.65,00:23:00.93,80619,82855,wait,,water,17,['water'],[17]
3528,P01,P01_18,wait for oil to be hot,00:26:13.11,00:26:42.02,94386,96121,wait-for,,oil,24,['oil'],[24]
3531,P01,P01_18,wait,00:27:04.40,00:27:20.73,97464,98443,wait,,stock,111,['stock'],[111]
3534,P01,P01_18,wait for oil,00:27:23.05,00:27:52.17,98583,100330,wait-for,,oil,24,['oil'],[24]
3727,P01,P01_18,wait for risotto,00:45:19.97,00:45:54.75,163198,165285,wait-for,,risotto,210,['risotto'],[210]
3737,P01,P01_18,wait for risotto,00:48:08.41,00:48:15.21,173304,173712,wait-for,,risotto,210,['risotto'],[210]
3769,P01,P01_18,wait for risotto,00:51:24.20,00:51:55.00,185052,186900,wait-for,,risotto,210,['risotto'],[210]
3770,P01,P01_18,continue waiting for risotto,00:51:44.78,00:51:58.70,186286,187122,wait-for,,risotto,210,['risotto'],[210]
3774,P01,P01_18,wait for risotto,00:52:36.04,00:53:15.85,189362,191751,wait-for,,risotto,210,['risotto'],[210]
3799,P01,P01_18,wait for risotto,00:55:40.75,00:56:15.04,200445,202502,wait-for,,risotto,210,['risotto'],[210]
3825,P01,P01_18,wait for risotto,00:59:28.40,00:59:40.14,214104,214808,wait-for,,risotto,210,['risotto'],[210]
4036,P02,P02_01,scoop sugar,00:01:34.23,00:01:35.62,5653,5737,sugar,,scoop,7,['scoop'],[7]
4046,P02,P02_01,sink,00:01:58.57,00:02:00.64,7114,7238,sink,,sink,33,['sink'],[33]
4047,P02,P02_01,mug,00:02:00.22,00:02:01.66,7213,7299,mug,,sink,33,['sink'],[33]
4065,P02,P02_01,scoop sugar,00:02:35.92,00:02:37.17,9355,9430,sugar,,scoop,7,['scoop'],[7]
4069,P02,P02_01,wait for coffee,00:02:43.46,00:02:46.96,9807,10017,wait-for,,coffee,58,['coffee'],[58]
4076,P02,P02_01,wait for coffee,00:02:59.82,00:03:08.06,10789,11283,wait-for,,coffee,58,['coffee'],[58]
4079,P02,P02_01,keep stirring coffee,00:03:11.56,00:03:18.75,11493,11925,keep,,coffee:stirring,58,['coffee:stirring'],[58]
4394,P02,P02_03,from kettle to pot,00:12:09.54,00:12:14.92,43772,44095,,,kettle,38,"['kettle', 'pot']","[38, 15]"
5228,P02,P02_09,scoop sugar,00:02:14.96,00:02:17.68,8097,8260,sugar,,scoop,7,['scoop'],[7]
5269,P02,P02_09,wait for kettle,00:03:50.04,00:03:57.68,13802,14260,wait-for,,kettle,38,['kettle'],[38]
5270,P02,P02_09,waiting for kettle to boil,00:03:59.99,00:04:08.80,14399,14928,wait-for,,kettle,38,['kettle'],[38]
5271,P02,P02_09,still waiting for kettle to boil,00:04:01.67,00:04:15.02,14500,15301,wait-for,,kettle,38,['kettle'],[38]
5272,P02,P02_09,still waiting for kettle to boil,00:04:04.47,00:04:18.75,14668,15525,wait-for,,kettle,38,['kettle'],[38]
5438,P02,P02_09,waiting for oil to heat,00:19:01.64,00:19:12.86,68498,69171,wait-for,,oil,24,"['oil', 'heat']","[24, 106]"
8113,P04,P04_01,scoop sugar,00:14:06.08,00:14:17.52,50764,51451,sugar,,scoop,7,['scoop'],[7]
8440,P04,P04_02,poor sesame oil,00:20:00.47,00:20:04.52,72028,72271,sesame,,oil,24,['oil'],[24]
9093,P04,P04_05,deseed chilli,00:23:31.52,00:23:49.70,84691,85782,desee,,chilli,101,['chilli'],"[101, 101]"
9124,P04,P04_05,zero scales,00:26:19.98,00:26:27.13,94798,95227,zero,,scales,144,['scales'],[144]
9234,P04,P04_06,dough,00:03:54.47,00:03:57.14,14068,14228,dough,,bread,52,['bread'],[52]
9590,P04,P04_14,stand up,00:01:18.50,00:01:22.29,4710,4937,,,rice,44,['rice'],[44]
10218,P04,P04_33,no wrong,00:02:14.56,00:02:16.17,8073,8170,,,broccoli,173,['broccoli'],[173]
13531,P08,P08_05,chilli sauce,00:26:25.98,00:26:29.35,95158,95361,chilli,,sauce,41,['sauce'],[41]
13867,P08,P08_09,on bread,00:08:38.90,00:08:39.63,31134,31177,bread,,avocado,134,['avocado'],[134]
14054,P08,P08_14,wait for water to boil,00:01:44.52,00:02:03.81,6271,7428,wait-for,,water,17,['water'],[17]
14555,P08,P08_19,kitchen,00:00:02.35,00:00:03.85,141,231,kitchen,,trash,108,['trash'],[108]
15148,P08,P08_23,cupboard,00:13:56.59,00:14:00.96,50195,50457,cupboard,,chilli,101,['chilli'],[101]
15380,P08,P08_24,try salad,00:06:20.77,00:06:23.41,22846,23004,try,,salad,54,['salad'],[54]
15479,P08,P08_26,garlic presser,00:03:17.22,00:03:28.54,11833,12512,garlic,,presser,314,['presser'],[314]
15994,P10,P10_01,recording stop,00:14:56.35,00:15:09.99,53781,54599,record,,light,113,['light'],[113]
16090,P10,P10_02,egg flour mixture again,00:13:28.90,00:13:36.25,48534,48975,egg,,mixture:flour,93,['mixture:flour'],[93]
16235,P10,P10_03,boxes,00:11:51.61,00:11:53.44,42696,42806,,,box,39,['box'],[39]
16245,P10,P10_03,of bowl,00:13:24.96,00:13:36.92,48297,49015,,,bowl,6,['bowl'],[6]
16753,P10,P10_04,couldn't find it anywhere,00:38:34.24,00:38:40.45,138854,139227,can,,can,87,['can'],[87]
16767,P10,P10_04,keep on,00:39:46.94,00:39:59.69,143216,143981,keep-on,,cover,102,['cover'],[102]
16773,P10,P10_04,waiting,00:41:22.30,00:41:30.17,148938,149410,wait,,cover,102,['cover'],[102]
16795,P10,P10_04,pot,00:43:53.95,00:43:56.13,158037,158167,pot,,chopstick,117,['chopstick'],[117]
16892,P10,P10_04,goes back,00:55:04.48,00:55:06.67,198268,198400,go,,bag,20,['bag'],[20]
17820,P11,P11_15,leek,00:03:38.97,00:03:54.14,13138,14048,leek,,rinse,152,['rinse'],[152]
17823,P11,P11_15,leek,00:04:11.76,00:04:13.23,15105,15193,leek,,leek:extra,107,['leek:extra'],[107]
17829,P11,P11_15,leek,00:04:39.08,00:04:40.75,16744,16845,leek,,leek,107,['leek'],[107]
17831,P11,P11_15,leek,00:05:04.54,00:05:11.30,18272,18678,leek,,leek,107,['leek'],[107]
18052,P11,P11_17,fish salmon out of pot,00:05:05.69,00:05:07.78,18341,18466,fish,,salmon,124,"['salmon', 'pot']","[124, 15]"
18683,P12,P12_02,in fridge,00:22:45.87,00:22:50.62,81952,82237,,,fridge,10,['fridge'],[10]
18841,P12,P12_03,and pasta,00:20:36.98,00:20:43.63,74218,74617,pasta,,water,17,['water'],[17]
18857,P12,P12_04,items,00:00:06.58,00:00:08.62,394,517,item,,bag,20,['bag'],[20]
19019,P12,P12_07,mug in dishwasher,00:03:12.96,00:03:15.01,11577,11700,mug-in,,dishwasher,49,['dishwasher'],[49]
19022,P12,P12_07,glasses in dishwasher,00:03:26.86,00:03:55.31,12411,14118,glass-in,,dishwasher,49,['dishwasher'],[49]
19640,P14,P14_05,cereals,00:00:54.47,00:00:56.68,3268,3400,cereal,,milk,43,['milk'],[43]
19972,P15,P15_07,let pot dry,00:00:50.40,00:00:56.11,3024,3366,let,,pot,15,['pot'],[15]
20539,P18,P18_02,stock toaster,00:02:27.96,00:02:28.61,8877,8916,stock,,toaster,172,['toaster'],[172]
20544,P18,P18_02,bread,00:02:59.69,00:03:00.68,10781,10840,bread,,butter:peanut,149,['butter:peanut'],[149]
20693,P18,P18_04,empty food remains in garbage,00:02:39.33,00:02:53.75,9559,10425,remain-in,,food:empty,37,"['food:empty', 'garbage']","[37, 108]"
21144,P18,P18_11,cucumber,00:03:43.73,00:03:44.58,13423,13474,cucumber,,cucumber,94,['cucumber'],[94]
21271,P19,P19_01,waiting for pan be heat,00:06:47.61,00:07:37.44,24456,27446,wait-for,,pan,1,"['pan', 'heat:be']","[1, 106]"
21275,P19,P19_01,still waiting for oil being heated,00:08:34.87,00:09:13.37,30892,33202,wait-for,,oil,24,['oil'],[24]
21276,P19,P19_01,waiting for oil being heated,00:09:03.84,00:09:09.80,32630,32988,wait-for,,oil,24,['oil'],[24]
21300,P19,P19_01,poor tomato and into dishes,00:12:31.04,00:12:40.00,45062,45600,,,tomato:poor,30,"['tomato:poor', 'dish']","[30, 4]"
21304,P19,P19_02,waiting for cooker,00:00:08.35,00:00:27.29,501,1637,wait-for,,cooker,56,['cooker'],[56]
21677,P20,P20_01,spatula on meat,00:12:16.81,00:12:20.78,44208,44446,spatula-on,,meat,26,['meat'],[26]
21678,P20,P20_01,spatula on meat,00:12:20.88,00:12:24.54,44452,44672,spatula-on,,meat,26,['meat'],[26]
22636,P21,P21_01,one more cheese slice,00:01:22.24,00:01:26.78,4934,5206,,,slice:cheese,51,['slice:cheese'],[51]
22816,P21,P21_03,into the microwave,00:05:09.13,00:05:12.55,18547,18753,,,microwave,55,['microwave'],[55]
22849,P21,P21_03,waiting for the microwave to finish,00:08:40.55,00:08:45.35,31232,31521,wait-for,,microwave,55,['microwave'],[55]
23873,P22,P22_03,cloth pose,00:14:47.64,00:14:48.69,53258,53321,cloth,,cloth,32,['cloth'],[32]
23954,P22,P22_03,product,00:18:29.69,00:18:32.21,66581,66732,product,,top,78,['top'],[78]
29011,P23,P23_02,hand is washing,00:01:30.50,00:01:32.50,5430,5550,be,,cap,164,['cap'],[164]
29044,P23,P23_02,gas is lighting,00:06:43.90,00:06:45.54,24234,24332,be,,gas,47,['gas'],[47]
29269,P23,P23_04,ginger cut into the small pieces,00:08:15.78,00:08:34.17,29746,30850,ginger-into,,ginger,119,['ginger'],[119]
29272,P23,P23_04,ginger cut into the small pieces,00:08:34.27,00:09:11.43,30856,33085,ginger-into,,ginger,119,['ginger'],[119]
29477,P23,P23_05,into the pan,00:07:31.52,00:07:32.58,27091,27154,,,pan,1,['pan'],[1]
29663,P24,P24_02,salad,00:01:24.18,00:01:26.70,5050,5202,salad,,salad,54,['salad'],[54]
32637,P26,P26_25,pasta,00:00:00.69,00:00:25.90,41,1554,pasta,,door,8,['door'],[8]
32651,P26,P26_28,the pasta,00:00:00.73,00:00:09.38,43,562,,,pasta,35,['pasta'],[35]
32821,P26,P26_37,glass,00:00:00.27,00:00:00.90,16,54,glass,,cooker,56,['cooker'],[56]
34283,P28,P28_11,wait for sausages to be fried,00:03:48.65,00:03:50.59,13719,13835,wait-for,,sausage,84,['sausage'],[84]
34286,P28,P28_11,wait for sausages to be fried,00:04:07.85,00:04:11.71,14871,15102,wait-for,,sausage,84,['sausage'],[84]
34290,P28,P28_11,wait for sausages to be fried,00:05:04.57,00:05:11.78,18274,18706,wait-for,,sausage,84,['sausage'],[84]
34921,P29,P29_01,onion in pan,00:05:24.68,00:05:25.98,19480,19558,onion-in,,pan,1,['pan'],[1]
36198,P29,P29_05,no,00:18:24.18,00:18:24.86,66250,66291,,,potato,27,['potato'],[27]
36369,P29,P29_05,paste olive oil onto potatoes,00:29:49.45,00:29:59.43,107367,107965,paste,,oil:olive,24,"['oil:olive', 'potato']","[24, 27]"
36468,P30,P30_02,continue,00:00:58.87,00:01:03.57,3532,3814,continue,,microwave,55,['microwave'],[55]
36736,P30,P30_04,mug,00:04:35.09,00:04:36.46,16505,16587,mug,,box,39,['box'],[39]
36968,P30,P30_05,garlic,00:11:58.81,00:12:07.13,43128,43627,,,garlic,45,['garlic'],[45]
37002,P30,P30_05,lemon squeezer,00:14:28.40,00:14:31.16,52104,52269,,,squeezer:lemon,314,['squeezer:lemon'],[314]
37087,P30,P30_05,chilli,00:21:13.95,00:21:20.97,76437,76858,chilli,,chilli,101,['chilli'],[101]
37108,P30,P30_05,stock in tin,00:23:01.61,00:23:10.11,82896,83406,stock-in,,tin,87,['tin'],[87]
37257,P30,P30_05,pizza pan,00:33:38.26,00:33:40.64,121095,121238,pizza,,pan,1,['pan'],[1]
37346,P30,P30_05,lime squeezer,00:39:55.30,00:40:02.27,143718,144136,lime,,squeezer,314,['squeezer'],[314]
37919,P30,P30_08,tun water on,00:04:02.99,00:04:04.64,14579,14678,tun,,water,17,['water'],[17]
38082,P30,P30_08,pause,00:12:11.72,00:12:14.50,43903,44070,pause,,hummus,192,['hummus'],[192]
38083,P30,P30_08,resume,00:12:14.41,00:12:21.77,44064,44506,resume,,hummus,192,['hummus'],[192]
38162,P30,P30_08,no audio,00:18:30.93,00:18:39.39,66655,67163,,,bowl,6,['bowl'],[6]
38800,P31,P31_03,then the object,00:02:11.90,00:02:17.82,7914,8269,,,door,8,['door'],[8]
39418,P32,P32_06,pot fork down,00:00:28.24,00:00:29.37,1694,1762,pot,,fork,18,['fork'],[18]
